job_title,company_name,company_location,work_method,post_date,work_time
Data Freshman Camp,PT Bank Sinarmas Tbk,Jakarta Metropolitan Area,Hybrid,43 minutes ago,Full-time · Mid-Senior level
Data Science Specialist,PT Smartfren Telecom Tbk,"Jakarta, Indonesia",On-site,4 hours ago,Full-time
Data Engineer Manager,EdenFarm,"West Jakarta, Jakarta, Indonesia",Hybrid,1 hour ago,Full-time
Teaching Assistant,PACMANN,"Jakarta Selatan, Jakarta, Indonesia",Remote,6 hours ago,Part-time
Data Engineer Intern,dentsu international,"Jakarta, Jakarta, Indonesia",On-site,3 weeks ago,Full-time · Internship
Data Analyst Lead,PT Alto Network,"Jakarta, Jakarta, Indonesia",On-site,2 days ago,Full-time · Mid-Senior level
Data Engineer,Dagangan,"Bandung, West Java, Indonesia",Remote,4 days ago,Full-time · Mid-Senior level
Data Science Intern,LLDIKTI,"Jakarta, Indonesia",Hybrid,3 hours ago,Internship
Client Engineering - Data Scientist,IBM,"Jakarta, Jakarta, Indonesia",On-site,1 week ago,Full-time
"Quality Excellence Analyst, Platform Safety and Quality",Grab,"Jakarta, Jakarta, Indonesia",On-site,54 minutes ago,Full-time · Mid-Senior level
Client Engineering - Data Scientist,IBM,"Jakarta, Jakarta, Indonesia",On-site,1 week ago,Full-time
Data Scientist - Commercial Ecosystem,Philip Morris International,"Jakarta, Jakarta, Indonesia",On-site,3 days ago,Full-time
Backend Engineer Intern,Finku,"Jakarta, Jakarta, Indonesia",On-site,1 week ago,Internship · Internship
Data Scientist,dentsu international,"Jakarta, Jakarta, Indonesia",On-site,3 weeks ago,Full-time · Entry level
Ops & Tech Intern,Hangry,"Jakarta, Jakarta, Indonesia",On-site,1 day ago,Internship · Internship
Business Analytics,Citi,"Jakarta, Jakarta, Indonesia",On-site,1 day ago,Full-time
Data Engineer,Binar Academy,"Tangerang, Banten, Indonesia",On-site,4 weeks ago,Full-time · Associate
"Data Analyst (Statistics/Python/BI) (Bangkok-based, relocation provided)",Agoda,"Bali, Indonesia",Hybrid,2 weeks ago,Full-time · Associate
Jr Data Scientist,PT Imani Prima,"Jakarta, Jakarta, Indonesia",Remote,2 days ago,Contract · Entry level
Automation Data Analyst,DANA Indonesia,"Jakarta, Indonesia",On-site,3 days ago,Full-time · Mid-Senior level
Software Engineer (Based in Indonesia),CharCentric,"Jakarta, Jakarta, Indonesia",Hybrid,3 weeks ago,Full-time
Business Intelligence Associate,DANA Indonesia,"Jakarta, Jakarta, Indonesia",On-site,3 days ago,Full-time · Entry level
Consultant/Senior Consultant - Artificial Intelligence & Data (Data Analyst/Data Engineering)-ID,Deloitte,"Jakarta, Jakarta, Indonesia",Remote,5 days ago,Full-time · Entry level
Internship - Information Technology,Procter & Gamble,"Jakarta, Jakarta, Indonesia",Remote,5 days ago,Full-time · Entry level
COVID-19 Data Engineer (Seconded Consultant),JSI,"Jakarta, Jakarta, Indonesia",On-site,1 week ago,Full-time
Remote 3D Data Scientist Jobs,Turing.com,Indonesia,Remote,1 week ago,Full-time · Entry level
Remote Jr. ML Engineer - 1 Jobs,Turing.com,Indonesia,Remote,5 days ago,Full-time · Entry level
Client Engineering - Data Engineer,IBM,"Jakarta, Jakarta, Indonesia",On-site,1 day ago,Full-time · Entry level
Data Scientist,Sayurbox,Jakarta Metropolitan Area,On-site,3 days ago,Contract · Internship
Remote Data Scientist Jobs,Turing.com,Indonesia,On-site,1 day ago,"IDR7,000,000/month - IDR15,000,000/month · Full-time · Mid-Senior level"
Data Visualization,PT. XL Axiata Tbk,"Jakarta, Indonesia",Remote,5 days ago,Full-time · Entry level
Business Intelligence Intern,Tinkerlust,"Jakarta, Jakarta, Indonesia",Hybrid,3 weeks ago,Internship · Internship
Data Engineer,Silvertech Asia,"Jakarta, Jakarta, Indonesia",Remote,3 weeks ago,Part-time · Mid-Senior level
"Data Analyst (Statistics/Python/BI) (Bangkok-based, relocation provided)",Agoda,"Bandung, West Java, Indonesia",Remote,5 days ago,Full-time · Entry level
Remote Data Scientist Jobs,Turing.com,Indonesia,On-site,6 hours ago,Full-time
Business Intelligence Intern,tiket.com,"Jakarta, Jakarta, Indonesia",Remote,3 weeks ago,Full-time · Entry level
"Data Scientist (remote, freelance)",Hire Digital,Indonesia,Remote,5 days ago,Full-time · Entry level
"Data Analyst (Statistics/Python/BI) (Bangkok-based, relocation provided)",Agoda,"Jakarta, Jakarta, Indonesia",Hybrid,1 week ago,Full-time · Mid-Senior level
Remote Data Scientist Jobs,Turing.com,Indonesia,Hybrid,1 month ago,Full-time · Entry level
Data Engineer,Binar Academy,"Jakarta, Indonesia",Remote,5 days ago,Full-time
"Remote API / Data Engineer (Python, PosgreSQL, API's, AWS) Jobs",Turing.com,Indonesia,On-site,5 days ago,Full-time · Entry level
Remote Data Scientist Jobs,Turing.com,Indonesia,On-site,1 day ago,Full-time · Mid-Senior level
Data Scientist,Bukalapak,"Jakarta, Jakarta, Indonesia",Remote,5 days ago,Full-time · Entry level
